U.S. State,Partner,Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
South Dakota,Mexico,Pork & Pork Products,"98,241","69,046","87,996","90,277","49,591","37,814","45,648","116,982","201,825","155,258","85,610",-45,SD,MX,0210AT
South Dakota,Mexico,Soybeans,"27,692","19,720",0,"4,996","39,686","33,673","61,917","13,040","38,134","63,784","66,733",5,SD,MX,0035AT
South Dakota,Mexico,Beef & Beef Products,"36,842","30,714","28,830","38,108","42,018","40,945","40,581","40,806","39,341","47,683","31,207",-35,SD,MX,0205AT
South Dakota,Mexico,Corn,0,"6,205","6,747","13,822","2,327","4,065",113,"9,495","10,578","16,390","26,468",61,SD,MX,0020AT
South Dakota,Mexico,Wheat,"12,104","5,821","5,067","9,798","2,127","3,550","1,542","2,217","8,551","3,815","10,609",178,SD,MX,0015AT
South Dakota,Mexico,Dairy Products,110,138,124,126,112,117,430,"3,674","2,763","1,034","6,115",491,SD,MX,0230AT
South Dakota,Mexico,Soybean meal,23,52,649,528,96,0,0,0,"3,119",0,"2,649",,SD,MX,0105AT
South Dakota,Mexico,Soybean Oil,"2,922",0,0,0,0,0,0,0,0,0,0,,SD,MX,0115AT
South Dakota,Canada,Soybean meal,"128,010","91,087","85,698","86,148","86,664","75,163","81,513","113,660","146,305","124,730","92,360",-26,SD,CA,0105AT
South Dakota,Canada,Pork & Pork Products,"52,181","44,381","37,488","31,525","28,203","19,701","27,923","28,634","20,680","22,917","25,517",11,SD,CA,0210AT
South Dakota,Canada,Soybean Oil,"6,199","6,488","5,653","6,309","7,482","5,870","9,073","24,511","31,827","26,283","24,650",-6,SD,CA,0115AT
South Dakota,Canada,Corn,173,514,683,195,"6,589","3,728",300,"13,613","33,730","23,681","9,233",-61,SD,CA,0020AT
South Dakota,Canada,Dairy Products,"2,180","1,167","2,499","3,045","2,773","2,628","2,471","4,800","11,657","8,785","8,810",,SD,CA,0230AT
South Dakota,Canada,Beef & Beef Products,"23,049","19,290","14,853","14,802","22,330","10,957","12,515","15,472","21,260","12,176","7,453",-39,SD,CA,0205AT
South Dakota,Canada,Wheat,"1,031",33,71,49,0,0,3,0,14,0,0,,SD,CA,0015AT
South Dakota,Canada,Soybeans,0,0,34,0,"3,110",23,0,0,98,0,0,,SD,CA,0035AT
South Dakota,Canada,Hay,0,38,0,0,5,56,0,0,27,27,0,,SD,CA,0135AT
South Dakota,China,Pork & Pork Products,612,54,"1,129","1,011",132,"44,561","54,041","39,740","10,549","66,696","63,862",-4,SD,CH,0210AT
South Dakota,China,Dairy Products,"6,133",954,"4,123","8,113","3,991","4,272","8,446","13,249","32,333","8,522","11,543",35,SD,CH,0230AT
South Dakota,China,Soybean Oil,0,0,69,0,0,0,0,0,0,0,95,,SD,CH,0115AT
South Dakota,China,Beef & Beef Products,0,0,0,244,0,614,"1,361","2,300","1,368","1,968",0,,SD,CH,0205AT
South Dakota,Japan,Pork & Pork Products,"30,647","37,689","39,723","47,139","42,257","43,252","74,648","89,955","47,383","71,352","43,711",-39,SD,JA,0210AT
South Dakota,Japan,Dairy Products,0,0,0,52,232,0,0,"2,583","5,508","4,509","5,912",31,SD,JA,0230AT
South Dakota,Japan,Beef & Beef Products,530,710,"1,703",316,395,"1,812","2,548","3,405","7,167","2,508",64,-97,SD,JA,0205AT
South Dakota,Japan,Wheat,0,0,0,0,260,0,0,0,469,473,0,,SD,JA,0015AT
South Dakota,Japan,Soybeans,0,0,0,0,0,0,0,0,11,0,0,,SD,JA,0035AT
South Dakota,Japan,Soybean meal,0,0,0,0,0,0,0,0,"17,862",0,0,,SD,JA,0105AT
South Dakota,Japan,Soybean Oil,0,0,0,0,0,40,64,64,0,0,0,,SD,JA,0115AT
South Dakota,Japan,Hay,0,0,0,42,0,0,0,0,0,0,0,,SD,JA,0135AT
South Dakota,Brazil,Dairy Products,68,143,112,0,428,"1,553","4,775","3,926","15,032","16,527","26,690",61,SD,BR,0230AT
South Dakota,Brazil,Wheat,0,0,0,636,0,0,0,0,0,0,0,,SD,BR,0015AT
South Dakota,Netherlands,Beef & Beef Products,196,0,0,0,0,199,"1,157",0,"3,281","9,048","17,825",97,SD,NL,0205AT
South Dakota,Netherlands,Soybeans,0,0,0,0,0,0,20,0,0,0,0,,SD,NL,0035AT
South Dakota,Netherlands,Dairy Products,0,0,0,0,0,70,0,0,0,0,0,,SD,NL,0230AT
South Dakota,"Korea, South",Dairy Products,166,40,0,432,794,"2,557","3,453","5,203","11,039","1,535","10,072",556,SD,KS,0230AT
South Dakota,"Korea, South",Pork & Pork Products,"24,805","22,310","14,175","5,462","9,194","19,303","9,624","18,806","18,347","2,304","5,532",140,SD,KS,0210AT
South Dakota,"Korea, South",Soybeans,0,0,0,0,0,0,"4,019","1,057",730,"1,141",91,-92,SD,KS,0035AT
South Dakota,"Korea, South",Beef & Beef Products,14,657,874,0,292,508,"1,859","2,091","13,853","3,036",34,-99,SD,KS,0205AT
South Dakota,"Korea, South",Soybean Oil,0,0,0,0,100,0,0,0,0,0,0,,SD,KS,0115AT
South Dakota,Colombia,Pork & Pork Products,723,940,615,493,590,"2,670","1,299","3,171","1,271","7,456","12,264",64,SD,CO,0210AT
South Dakota,Colombia,Dairy Products,0,0,295,56,0,0,0,730,"1,072",574,"1,897",230,SD,CO,0230AT
South Dakota,Colombia,Beef & Beef Products,0,0,0,0,0,0,0,108,175,89,50,-44,SD,CO,0205AT
South Dakota,Colombia,Soybean meal,209,0,0,0,0,0,0,0,0,0,0,,SD,CO,0105AT
South Dakota,India,Dairy Products,0,0,97,82,"1,422","2,076","1,616",193,"2,912","2,339","5,095",118,SD,IN,0230AT
South Dakota,India,Corn,0,0,0,105,0,0,0,0,0,0,0,,SD,IN,0020AT
South Dakota,India,Soybean meal,0,0,0,0,0,13,0,0,0,0,0,,SD,IN,0105AT
